****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Random seed: 25332
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 260x6978
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.134	Loglikelihood: -1.80963e+06	(delta): 771785
2 (EM) 	Elapsed: 0.133	Loglikelihood: -1.75293e+06	(delta): 56700.1
3 (EM) 	Elapsed: 0.133	Loglikelihood: -1.73401e+06	(delta): 18920.3
4 (EM) 	Elapsed: 0.133	Loglikelihood: -1.7147e+06	(delta): 19315.7
5 (EM) 	Elapsed: 0.133	Loglikelihood: -1.68944e+06	(delta): 25256.4
Initial loglikelihood: -1.68944e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.371	Loglikelihood: -1.15214e+06	(delta): 537302
2 (QN/Block) 	Elapsed: 0.371	Loglikelihood: -1.08106e+06	(delta): 71079.1
3 (QN/Block) 	Elapsed: 0.405	Loglikelihood: -1.04813e+06	(delta): 32927.5
4 (QN/Block) 	Elapsed: 0.391	Loglikelihood: -1.03171e+06	(delta): 16425.1
5 (QN/Block) 	Elapsed: 0.401	Loglikelihood: -1.02515e+06	(delta): 6555.2
6 (QN/Block) 	Elapsed: 0.389	Loglikelihood: -1.02301e+06	(delta): 2143.1
7 (QN/Block) 	Elapsed: 0.388	Loglikelihood: -1.02245e+06	(delta): 555.403
8 (QN/Block) 	Elapsed: 0.389	Loglikelihood: -1.0221e+06	(delta): 354.037
9 (QN/Block) 	Elapsed: 0.389	Loglikelihood: -1.02185e+06	(delta): 250.857
10 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02167e+06	(delta): 175.371
11 (QN/Block) 	Elapsed: 0.389	Loglikelihood: -1.02152e+06	(delta): 149.883
12 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02144e+06	(delta): 85.6428
13 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02137e+06	(delta): 63.1519
14 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02133e+06	(delta): 46.0898
15 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02129e+06	(delta): 37.7662
16 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02127e+06	(delta): 18.5498
17 (QN/Block) 	Elapsed: 0.399	Loglikelihood: -1.02126e+06	(delta): 12.442
18 (QN/Block) 	Elapsed: 0.421	Loglikelihood: -1.02125e+06	(delta): 5.71111
19 (QN/Block) 	Elapsed: 0.423	Loglikelihood: -1.02125e+06	(delta): 3.68485
20 (QN/Block) 	Elapsed: 0.401	Loglikelihood: -1.02124e+06	(delta): 8.48571
21 (QN/Block) 	Elapsed: 0.412	Loglikelihood: -1.02123e+06	(delta): 14.2032
22 (QN/Block) 	Elapsed: 0.423	Loglikelihood: -1.02122e+06	(delta): 3.82724
23 (QN/Block) 	Elapsed: 0.388	Loglikelihood: -1.02122e+06	(delta): 1.30768
24 (QN/Block) 	Elapsed: 0.398	Loglikelihood: -1.02122e+06	(delta): 0.649704
25 (QN/Block) 	Elapsed: 0.421	Loglikelihood: -1.02122e+06	(delta): 0.386242
26 (QN/Block) 	Elapsed: 0.409	Loglikelihood: -1.02122e+06	(delta): 0.0924514
27 (QN/Block) 	Elapsed: 0.386	Loglikelihood: -1.02122e+06	(delta): 0.053683
28 (QN/Block) 	Elapsed: 0.386	Loglikelihood: -1.02122e+06	(delta): 0.0144873
29 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02122e+06	(delta): 0.00512137
30 (QN/Block) 	Elapsed: 0.386	Loglikelihood: -1.02122e+06	(delta): 0.00681701
31 (QN/Block) 	Elapsed: 0.411	Loglikelihood: -1.02122e+06	(delta): 0.00294245
32 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02122e+06	(delta): 0.00194736
33 (QN/Block) 	Elapsed: 0.388	Loglikelihood: -1.02122e+06	(delta): 0.010377
34 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02122e+06	(delta): 0.0209473
35 (QN/Block) 	Elapsed: 0.389	Loglikelihood: -1.02122e+06	(delta): 0.041351
36 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02122e+06	(delta): 0.0440343
37 (QN/Block) 	Elapsed: 0.424	Loglikelihood: -1.02122e+06	(delta): 0.0293692
38 (QN/Block) 	Elapsed: 0.423	Loglikelihood: -1.02122e+06	(delta): 0.0357886
39 (QN/Block) 	Elapsed: 0.422	Loglikelihood: -1.02122e+06	(delta): 0.0430834
40 (QN/Block) 	Elapsed: 0.422	Loglikelihood: -1.02122e+06	(delta): 0.0516289
41 (QN/Block) 	Elapsed: 0.423	Loglikelihood: -1.02122e+06	(delta): 0.0615999
42 (QN/Block) 	Elapsed: 0.423	Loglikelihood: -1.02122e+06	(delta): 0.0798255
43 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -1.02122e+06	(delta): 0.0452477
