# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
14	Jail_Pond	Big_Springs	un	2489	0.00561	-1.00000	-1.00000	0.00308	-1.00000	-1.00000	0.00283	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
15	Jail_Pond	Big_Springs	un	3334	-0.03816	-1.00000	-1.00000	-0.00949	-1.00000	-1.00000	-0.00733	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
19	Jail_Pond	Big_Springs	un	5769	-0.02446	-1.00000	-1.00000	-0.01260	-1.00000	-1.00000	-0.00841	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
22	Jail_Pond	Big_Springs	un	6560	0.05748	-1.00000	-1.00000	0.00467	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
36	Jail_Pond	Big_Springs	un	10502	-0.00467	-1.00000	-1.00000	-0.00375	-1.00000	-1.00000	0.00578	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
43	Jail_Pond	Big_Springs	un	11305	0.15234	-1.00000	-1.00000	0.07738	-1.00000	-1.00000	0.08929	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
100	Jail_Pond	Big_Springs	un	23362	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00370	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
165	Jail_Pond	Big_Springs	un	36533	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
196	Jail_Pond	Big_Springs	un	43866	0.09127	-1.00000	-1.00000	0.02311	-1.00000	-1.00000	0.03695	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
206	Jail_Pond	Big_Springs	un	47075	-0.03436	-1.00000	-1.00000	-0.03484	-1.00000	-1.00000	-0.03156	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
227	Jail_Pond	Big_Springs	un	50833	-0.03816	-1.00000	-1.00000	-0.00949	-1.00000	-1.00000	-0.00561	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
230	Jail_Pond	Big_Springs	un	53463	-0.03697	-1.00000	-1.00000	-0.01808	-1.00000	-1.00000	-0.01802	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
