# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Population Mills_Valley	2022_Mills_Valley_LTC1,2022_Mills_Valley_LTC2,2022_Mills_Valley_LTC3,2022_Mills_Valley_LTC4,2022_Mills_Valley_LTC5,2022_Mills_Valley_LTC6,2022_Mills_Valley_LTC7,2022_Mills_Valley_LTC8
# Population Rosebud_Top_P	2022_Rosebud_Top_P_LTC1,2022_Rosebud_Top_P_LTC10,2022_Rosebud_Top_P_LTC11,2022_Rosebud_Top_P_LTC12,2022_Rosebud_Top_P_LTC13,2022_Rosebud_Top_P_LTC14,2022_Rosebud_Top_P_LTC2,2022_Rosebud_Top_P_LTC3,2022_Rosebud_Top_P_LTC4,2022_Rosebud_Top_P_LTC5,2022_Rosebud_Top_P_LTC6,2022_Rosebud_Top_P_LTC7,2022_Rosebud_Top_P_LTC8,2022_Rosebud_Top_P_LTC9
# Population Cluster	2022_Cluster_LTC_1,2022_Cluster_LTC_10,2022_Cluster_LTC_11,2022_Cluster_LTC_12,2022_Cluster_LTC_13,2022_Cluster_LTC_14,2022_Cluster_LTC_15,2022_Cluster_LTC_2,2022_Cluster_LTC_3,2022_Cluster_LTC_4,2022_Cluster_LTC_5,2022_Cluster_LTC_6,2022_Cluster_LTC_7,2022_Cluster_LTC_8,2022_Cluster_LTC_9
# Group defaultgrp	Copilot,Mills_Valley,Rosebud_Top_P,Cluster
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
19	un	3808	-0.02782	-1.00000	-0.00329	-1.00000	-nan	-1.00000
35	un	6126	0.10019	-1.00000	0.02199	-1.00000	0.01722	-1.00000
36	un	6948	-0.03896	-1.00000	-0.01521	-1.00000	0.60892	-1.00000
44	un	8630	0.01004	-1.00000	0.00107	-1.00000	0.00223	-1.00000
97	un	15770	0.03051	-1.00000	0.00455	-1.00000	0.00281	-1.00000
104	un	17420	-0.00659	-1.00000	-0.00043	-1.00000	-0.00401	-1.00000
122	un	21620	0.07484	-1.00000	0.00495	-1.00000	0.01639	-1.00000
134	un	24904	-0.05660	-1.00000	-0.05960	-1.00000	0.56819	-1.00000
149	un	28134	0.00581	-1.00000	0.00088	-1.00000	0.00329	-1.00000
165	un	28934	0.12062	-1.00000	0.06903	-1.00000	0.08962	-1.00000
185	un	34659	-0.02918	-1.00000	-0.00370	-1.00000	0.50843	-1.00000
199	un	36259	-0.02423	-1.00000	-0.00300	-1.00000	0.00980	-1.00000
206	un	38694	0.00513	-1.00000	0.00042	-1.00000	0.48221	-1.00000
218	un	42500	-0.03207	-1.00000	-0.03341	-1.00000	0.54452	-1.00000
227	un	43335	-0.02595	-1.00000	-0.00320	-1.00000	0.58693	-1.00000
229	un	44142	0.04063	-1.00000	0.00235	-1.00000	0.55939	-1.00000
230	un	44952	-0.00134	-1.00000	-0.00010	-1.00000	0.50238	-1.00000
246	un	47402	-0.03058	-1.00000	-0.02338	-1.00000	-nan	-1.00000
265	un	51386	-0.02774	-1.00000	-0.01506	-1.00000	0.51983	-1.00000
277	un	53868	-0.02758	-1.00000	-0.02409	-1.00000	0.52051	-1.00000
286	un	54708	0.01326	-1.00000	0.00200	-1.00000	0.00397	-1.00000
287	un	55586	-0.00233	-1.00000	-0.00016	-1.00000	0.00526	-1.00000
