# Stacks v2.64;  Phylip sequential; May 16, 2024
# Seq Pos	Locus ID	Column	Population
0	2	121	Clear_Lake:Y,Willow_Pond:Y,
1	5	9	Clear_Lake:R,Willow_Pond:R,
2	14	68	Clear_Lake:T,Willow_Pond:Y,
3	18	19	Clear_Lake:G,Willow_Pond:R,
4	74	130	Clear_Lake:M,Willow_Pond:M,
5	86	76	Clear_Lake:R,Willow_Pond:R,
6	172	127	Clear_Lake:M,Willow_Pond:M,
7	185	290	Clear_Lake:T,Willow_Pond:W,
8	206	54	Clear_Lake:K,Willow_Pond:K,
9	218	42	Clear_Lake:K,Willow_Pond:K,
10	277	133	Clear_Lake:Y,Willow_Pond:Y,
11	288	158	Clear_Lake:R,Willow_Pond:R,
12	306	83	Clear_Lake:Y,Willow_Pond:Y,
13	373	100	Clear_Lake:Y,Willow_Pond:Y,
14	383	13	Clear_Lake:M,Willow_Pond:M,
15	388	38	Clear_Lake:W,Willow_Pond:W,
16	389	128	Clear_Lake:R,Willow_Pond:R,
17	398	10	Clear_Lake:K,Willow_Pond:K,
18	399	49	Clear_Lake:K,Willow_Pond:K,
19	404	152	Clear_Lake:W,Willow_Pond:W,
20	405	155	Clear_Lake:R,Willow_Pond:R,
21	408	98	Clear_Lake:S,Willow_Pond:S,
22	435	8	Clear_Lake:R,Willow_Pond:R,
23	451	137	Clear_Lake:K,Willow_Pond:K,
24	454	114	Clear_Lake:R,Willow_Pond:R,
25	460	32	Clear_Lake:M,Willow_Pond:M,
26	464	28	Clear_Lake:Y,Willow_Pond:Y,
27	486	154	Clear_Lake:S,Willow_Pond:S,
28	491	13	Clear_Lake:R,Willow_Pond:G,
29	495	37	Clear_Lake:Y,Willow_Pond:Y,
30	508	26	Clear_Lake:K,Willow_Pond:K,
31	512	44	Clear_Lake:W,Willow_Pond:W,
32	530	119	Clear_Lake:R,Willow_Pond:R,
33	563	339	Clear_Lake:M,Willow_Pond:M,
34	569	56	Clear_Lake:W,Willow_Pond:W,
35	586	154	Clear_Lake:Y,Willow_Pond:Y,
36	620	157	Clear_Lake:M,Willow_Pond:M,
37	663	7	Clear_Lake:K,Willow_Pond:K,
38	675	156	Clear_Lake:R,Willow_Pond:R,
39	686	15	Clear_Lake:K,Willow_Pond:K,
40	689	13	Clear_Lake:R,Willow_Pond:R,
41	697	46	Clear_Lake:W,Willow_Pond:W,
42	714	77	Clear_Lake:K,Willow_Pond:K,
43	723	115	Clear_Lake:R,Willow_Pond:R,
44	729	90	Clear_Lake:Y,Willow_Pond:Y,
45	733	24	Clear_Lake:G,Willow_Pond:R,
46	736	56	Clear_Lake:M,Willow_Pond:M,
47	748	127	Clear_Lake:S,Willow_Pond:S,
48	759	27	Clear_Lake:M,Willow_Pond:M,
49	767	22	Clear_Lake:R,Willow_Pond:R,
50	819	21	Clear_Lake:M,Willow_Pond:M,
51	829	76	Clear_Lake:R,Willow_Pond:R,
52	857	76	Clear_Lake:W,Willow_Pond:W,
53	889	111	Clear_Lake:K,Willow_Pond:K,
54	910	52	Clear_Lake:R,Willow_Pond:R,
55	954	72	Clear_Lake:R,Willow_Pond:R,
56	961	131	Clear_Lake:W,Willow_Pond:W,
57	981	103	Clear_Lake:K,Willow_Pond:G,
58	1001	14	Clear_Lake:R,Willow_Pond:R,
59	1011	70	Clear_Lake:Y,Willow_Pond:Y,
60	1078	21	Clear_Lake:K,Willow_Pond:K,
61	1085	150	Clear_Lake:M,Willow_Pond:M,
62	1094	42	Clear_Lake:R,Willow_Pond:R,
63	1105	48	Clear_Lake:T,Willow_Pond:Y,
64	1113	122	Clear_Lake:Y,Willow_Pond:Y,
65	1124	59	Clear_Lake:Y,Willow_Pond:Y,
66	1134	57	Clear_Lake:W,Willow_Pond:W,
67	1135	34	Clear_Lake:W,Willow_Pond:W,
68	1138	149	Clear_Lake:M,Willow_Pond:M,
69	1143	60	Clear_Lake:Y,Willow_Pond:Y,
70	1148	155	Clear_Lake:W,Willow_Pond:W,
71	1209	112	Clear_Lake:M,Willow_Pond:M,
72	1245	377	Clear_Lake:R,Willow_Pond:R,
73	1260	122	Clear_Lake:K,Willow_Pond:K,
74	1263	15	Clear_Lake:Y,Willow_Pond:Y,
75	1273	402	Clear_Lake:K,Willow_Pond:K,
76	1275	10	Clear_Lake:K,Willow_Pond:K,
77	1304	73	Clear_Lake:M,Willow_Pond:M,
78	1308	116	Clear_Lake:R,Willow_Pond:R,
79	1318	560	Clear_Lake:K,Willow_Pond:G,
80	1375	22	Clear_Lake:R,Willow_Pond:R,
81	1386	77	Clear_Lake:G,Willow_Pond:K,
82	1419	39	Clear_Lake:M,Willow_Pond:M,
83	1420	140	Clear_Lake:K,Willow_Pond:K,
84	1427	52	Clear_Lake:T,Willow_Pond:Y,
85	1463	136	Clear_Lake:W,Willow_Pond:W,
86	1506	13	Clear_Lake:Y,Willow_Pond:Y,
87	1524	43	Clear_Lake:K,Willow_Pond:K,
88	1558	79	Clear_Lake:R,Willow_Pond:G,
89	1565	75	Clear_Lake:Y,Willow_Pond:Y,
90	1575	83	Clear_Lake:M,Willow_Pond:M,
91	1594	16	Clear_Lake:R,Willow_Pond:R,
92	1658	152	Clear_Lake:S,Willow_Pond:S,
93	1665	315	Clear_Lake:R,Willow_Pond:R,
94	1675	124	Clear_Lake:Y,Willow_Pond:Y,
95	1707	16	Clear_Lake:Y,Willow_Pond:Y,
96	1723	11	Clear_Lake:R,Willow_Pond:R,
97	1728	21	Clear_Lake:S,Willow_Pond:G,
98	1762	31	Clear_Lake:Y,Willow_Pond:Y,
99	1769	14	Clear_Lake:R,Willow_Pond:R,
100	1791	82	Clear_Lake:M,Willow_Pond:M,
101	1793	45	Clear_Lake:K,Willow_Pond:K,
102	1867	63	Clear_Lake:A,Willow_Pond:W,
103	1871	6	Clear_Lake:R,Willow_Pond:R,
104	1872	45	Clear_Lake:K,Willow_Pond:K,
105	1888	157	Clear_Lake:M,Willow_Pond:M,
106	1897	85	Clear_Lake:W,Willow_Pond:W,
107	1901	40	Clear_Lake:R,Willow_Pond:R,
108	1919	22	Clear_Lake:R,Willow_Pond:R,
109	1924	50	Clear_Lake:W,Willow_Pond:W,
110	1925	25	Clear_Lake:M,Willow_Pond:M,
111	1938	19	Clear_Lake:K,Willow_Pond:K,
112	1978	68	Clear_Lake:W,Willow_Pond:W,
113	1983	92	Clear_Lake:R,Willow_Pond:R,
114	1995	98	Clear_Lake:R,Willow_Pond:R,
115	2003	64	Clear_Lake:M,Willow_Pond:M,
116	2016	23	Clear_Lake:W,Willow_Pond:W,
117	2034	82	Clear_Lake:S,Willow_Pond:S,
118	2043	147	Clear_Lake:Y,Willow_Pond:Y,
119	2057	55	Clear_Lake:M,Willow_Pond:M,
120	2064	50	Clear_Lake:S,Willow_Pond:S,
121	2073	73	Clear_Lake:K,Willow_Pond:K,
122	2082	442	Clear_Lake:M,Willow_Pond:M,
123	2113	342	Clear_Lake:K,Willow_Pond:G,
124	2118	37	Clear_Lake:R,Willow_Pond:R,
125	2125	142	Clear_Lake:A,Willow_Pond:R,
126	2178	509	Clear_Lake:W,Willow_Pond:W,
127	2192	27	Clear_Lake:R,Willow_Pond:R,
128	2203	438	Clear_Lake:K,Willow_Pond:K,
129	2210	12	Clear_Lake:Y,Willow_Pond:Y,
130	2217	65	Clear_Lake:S,Willow_Pond:S,
131	2224	130	Clear_Lake:M,Willow_Pond:M,
132	2232	28	Clear_Lake:R,Willow_Pond:R,
133	2238	20	Clear_Lake:R,Willow_Pond:R,
134	2243	65	Clear_Lake:R,Willow_Pond:R,
135	2255	53	Clear_Lake:S,Willow_Pond:S,
136	2264	56	Clear_Lake:R,Willow_Pond:R,
137	2287	345	Clear_Lake:K,Willow_Pond:K,
138	2294	32	Clear_Lake:R,Willow_Pond:R,
139	2339	331	Clear_Lake:Y,Willow_Pond:Y,
140	2345	67	Clear_Lake:M,Willow_Pond:M,
141	2376	99	Clear_Lake:Y,Willow_Pond:Y,
142	2381	14	Clear_Lake:R,Willow_Pond:R,
143	2391	58	Clear_Lake:W,Willow_Pond:W,
144	2400	447	Clear_Lake:K,Willow_Pond:K,
145	2417	149	Clear_Lake:W,Willow_Pond:W,
146	2421	143	Clear_Lake:S,Willow_Pond:S,
147	2430	16	Clear_Lake:R,Willow_Pond:R,
148	2441	31	Clear_Lake:M,Willow_Pond:M,
149	2446	53	Clear_Lake:W,Willow_Pond:W,
150	2451	24	Clear_Lake:W,Willow_Pond:W,
151	2480	21	Clear_Lake:R,Willow_Pond:R,
152	2494	87	Clear_Lake:M,Willow_Pond:M,
153	2509	73	Clear_Lake:Y,Willow_Pond:Y,
154	2512	34	Clear_Lake:Y,Willow_Pond:Y,
155	2517	39	Clear_Lake:R,Willow_Pond:R,
156	2520	104	Clear_Lake:R,Willow_Pond:R,
157	2532	265	Clear_Lake:K,Willow_Pond:K,
158	2534	477	Clear_Lake:K,Willow_Pond:K,
159	2546	370	Clear_Lake:W,Willow_Pond:W,
