# Stacks v2.64;  Phylip sequential; May 16, 2024
# Seq Pos	Locus ID	Column	Population
0	5	155	Bishop:K,Red_Knolls:K,
1	83	42	Bishop:R,Red_Knolls:R,
2	134	6	Bishop:W,Red_Knolls:W,
3	140	230	Bishop:W,Red_Knolls:W,
4	172	523	Bishop:K,Red_Knolls:G,
5	182	155	Bishop:W,Red_Knolls:W,
6	217	61	Bishop:M,Red_Knolls:M,
7	246	58	Bishop:W,Red_Knolls:W,
8	265	115	Bishop:S,Red_Knolls:S,
9	289	21	Bishop:S,Red_Knolls:S,
10	297	342	Bishop:W,Red_Knolls:W,
11	328	300	Bishop:Y,Red_Knolls:Y,
12	373	100	Bishop:Y,Red_Knolls:Y,
13	389	128	Bishop:R,Red_Knolls:A,
14	399	49	Bishop:K,Red_Knolls:K,
15	421	110	Bishop:Y,Red_Knolls:Y,
16	435	8	Bishop:R,Red_Knolls:R,
17	451	137	Bishop:K,Red_Knolls:K,
18	472	280	Bishop:K,Red_Knolls:K,
19	486	57	Bishop:M,Red_Knolls:M,
20	508	63	Bishop:G,Red_Knolls:R,
21	512	44	Bishop:W,Red_Knolls:W,
22	539	106	Bishop:Y,Red_Knolls:Y,
23	551	135	Bishop:M,Red_Knolls:A,
24	556	104	Bishop:W,Red_Knolls:W,
25	569	56	Bishop:W,Red_Knolls:W,
26	578	155	Bishop:Y,Red_Knolls:Y,
27	586	509	Bishop:G,Red_Knolls:S,
28	597	81	Bishop:K,Red_Knolls:K,
29	603	117	Bishop:R,Red_Knolls:R,
30	620	76	Bishop:M,Red_Knolls:M,
31	649	114	Bishop:Y,Red_Knolls:Y,
32	675	19	Bishop:R,Red_Knolls:R,
33	681	132	Bishop:C,Red_Knolls:M,
34	689	13	Bishop:R,Red_Knolls:R,
35	697	46	Bishop:W,Red_Knolls:W,
36	711	358	Bishop:K,Red_Knolls:G,
37	714	77	Bishop:K,Red_Knolls:K,
38	717	62	Bishop:K,Red_Knolls:K,
39	729	6	Bishop:W,Red_Knolls:W,
