# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
100	Jail_Pond	Mona	un	23362	-0.00756	-1.00000	-1.00000	-0.00133	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
165	Jail_Pond	Mona	un	36533	-0.06667	-1.00000	-1.00000	-0.01238	-1.00000	-1.00000	-0.01887	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
230	Jail_Pond	Mona	un	53463	0.14466	-1.00000	-1.00000	0.11321	-1.00000	-1.00000	0.09543	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
241	Jail_Pond	Mona	un	55124	-0.07592	-1.00000	-1.00000	-0.02871	-1.00000	-1.00000	-0.02516	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
323	Jail_Pond	Mona	un	75348	-0.09091	-1.00000	-1.00000	-0.02552	-1.00000	-1.00000	-0.02679	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
325	Jail_Pond	Mona	un	76976	0.14466	-1.00000	-1.00000	0.11321	-1.00000	-1.00000	0.08355	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
399	Jail_Pond	Mona	un	95825	-0.08901	-1.00000	-1.00000	-0.09510	-1.00000	-1.00000	-0.10031	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
443	Jail_Pond	Mona	un	103057	-0.00672	-1.00000	-1.00000	-0.00085	-1.00000	-1.00000	-0.01064	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
454	Jail_Pond	Mona	un	106287	-0.06143	-1.00000	-1.00000	-0.00342	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
641	Jail_Pond	Mona	un	144916	-0.06667	-1.00000	-1.00000	-0.01238	-1.00000	-1.00000	-0.01887	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
652	Jail_Pond	Mona	un	147423	-0.07312	-1.00000	-1.00000	-0.01438	-1.00000	-1.00000	-0.02182	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
663	Jail_Pond	Mona	un	150577	0.00850	-1.00000	-1.00000	0.00546	-1.00000	-1.00000	-0.02144	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
704	Jail_Pond	Mona	un	163601	-0.02724	-1.00000	-1.00000	-0.00355	-1.00000	-1.00000	0.01434	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
