# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Group defaultgrp	Tooele_Army,Jail_Pond,Mona,Big_Springs
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
2	un	1	-0.04039	-1.00000	-0.01483	-1.00000	-nan	-1.00000
14	un	2489	0.00769	-1.00000	0.00361	-1.00000	0.55224	-1.00000
15	un	3334	-0.04402	-1.00000	-0.01095	-1.00000	0.50608	-1.00000
19	un	5769	-0.02446	-1.00000	-0.01260	-1.00000	-nan	-1.00000
22	un	6560	0.00865	-1.00000	0.00075	-1.00000	-nan	-1.00000
36	un	10502	-0.00467	-1.00000	-0.00375	-1.00000	-nan	-1.00000
43	un	11305	0.15234	-1.00000	0.07738	-1.00000	0.58658	-1.00000
74	un	16287	-0.04651	-1.00000	-0.03853	-1.00000	-nan	-1.00000
86	un	21000	0.07528	-1.00000	0.01339	-1.00000	-nan	-1.00000
96	un	21774	0.19656	-1.00000	0.04081	-1.00000	-nan	-1.00000
100	un	23362	0.04935	-1.00000	0.00392	-1.00000	0.01403	-1.00000
109	un	25901	-0.04886	-1.00000	-0.00491	-1.00000	0.54585	-1.00000
120	un	27551	-0.02588	-1.00000	-0.00448	-1.00000	0.66611	-1.00000
123	un	29183	0.07635	-1.00000	0.01354	-1.00000	0.49642	-1.00000
134	un	31679	-0.04348	-1.00000	-0.04537	-1.00000	0.66176	-1.00000
165	un	36533	0.03017	-1.00000	0.00223	-1.00000	-0.00183	-1.00000
182	un	41427	0.05403	-1.00000	0.02010	-1.00000	0.51757	-1.00000
196	un	43866	0.03565	-1.00000	0.01001	-1.00000	0.51940	-1.00000
206	un	47075	-0.03436	-1.00000	-0.03484	-1.00000	-nan	-1.00000
227	un	50833	-0.04402	-1.00000	-0.01095	-1.00000	-nan	-1.00000
230	un	53463	0.02294	-1.00000	0.01223	-1.00000	0.03767	-1.00000
