# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Population Rosebud_Top_P	2022_Rosebud_Top_P_LTC1,2022_Rosebud_Top_P_LTC10,2022_Rosebud_Top_P_LTC11,2022_Rosebud_Top_P_LTC12,2022_Rosebud_Top_P_LTC13,2022_Rosebud_Top_P_LTC14,2022_Rosebud_Top_P_LTC2,2022_Rosebud_Top_P_LTC3,2022_Rosebud_Top_P_LTC4,2022_Rosebud_Top_P_LTC5,2022_Rosebud_Top_P_LTC6,2022_Rosebud_Top_P_LTC7,2022_Rosebud_Top_P_LTC8,2022_Rosebud_Top_P_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
19	Copilot	Rosebud_Top_P	un	3808	-0.02782	-1.00000	-1.00000	-0.00329	-1.00000	-1.00000	-0.00319	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
35	Copilot	Rosebud_Top_P	un	6126	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
44	Copilot	Rosebud_Top_P	un	8630	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
97	Copilot	Rosebud_Top_P	un	15770	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
104	Copilot	Rosebud_Top_P	un	17420	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00581	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
149	Copilot	Rosebud_Top_P	un	28134	-0.02782	-1.00000	-1.00000	-0.00329	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
165	Copilot	Rosebud_Top_P	un	28934	-0.00299	-1.00000	-1.00000	-0.00128	-1.00000	-1.00000	-0.00902	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
185	Copilot	Rosebud_Top_P	un	34659	-0.02407	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
199	Copilot	Rosebud_Top_P	un	36259	-0.02813	-1.00000	-1.00000	-0.00378	-1.00000	-1.00000	-0.00455	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
206	Copilot	Rosebud_Top_P	un	38694	0.04348	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	-0.00879	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
230	Copilot	Rosebud_Top_P	un	44952	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
265	Copilot	Rosebud_Top_P	un	51386	-0.01881	-1.00000	-1.00000	-0.00960	-1.00000	-1.00000	-0.01109	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
277	Copilot	Rosebud_Top_P	un	53868	-0.03651	-1.00000	-1.00000	-0.02964	-1.00000	-1.00000	-0.03763	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
286	Copilot	Rosebud_Top_P	un	54708	-0.00975	-1.00000	-1.00000	-0.00235	-1.00000	-1.00000	-0.00235	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
287	Copilot	Rosebud_Top_P	un	55586	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.00110	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
291	Copilot	Rosebud_Top_P	un	57942	0.00840	-1.00000	-1.00000	0.00273	-1.00000	-1.00000	-0.00470	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
305	Copilot	Rosebud_Top_P	un	61794	0.05755	-1.00000	-1.00000	0.01280	-1.00000	-1.00000	0.01200	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
306	Copilot	Rosebud_Top_P	un	62619	0.00725	-1.00000	-1.00000	0.00674	-1.00000	-1.00000	0.00522	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
325	Copilot	Rosebud_Top_P	un	67644	-0.04000	-1.00000	-1.00000	-0.00321	-1.00000	-1.00000	-0.00024	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
341	Copilot	Rosebud_Top_P	un	73479	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
366	Copilot	Rosebud_Top_P	un	78937	-0.03975	-1.00000	-1.00000	-0.00319	-1.00000	-1.00000	0.00077	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
383	Copilot	Rosebud_Top_P	un	81417	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
399	Copilot	Rosebud_Top_P	un	85666	-0.03709	-1.00000	-1.00000	-0.03063	-1.00000	-1.00000	-0.02519	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
404	Copilot	Rosebud_Top_P	un	86527	0.09183	-1.00000	-1.00000	0.06238	-1.00000	-1.00000	0.05481	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
408	Copilot	Rosebud_Top_P	un	88121	-0.04348	-1.00000	-1.00000	-0.01232	-1.00000	-1.00000	-0.01649	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
416	Copilot	Rosebud_Top_P	un	88888	0.11111	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
460	Copilot	Rosebud_Top_P	un	95362	0.02912	-1.00000	-1.00000	0.00239	-1.00000	-1.00000	0.01034	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
464	Copilot	Rosebud_Top_P	un	96236	-0.01663	-1.00000	-1.00000	-0.00598	-1.00000	-1.00000	-0.00598	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
486	Copilot	Rosebud_Top_P	un	99203	-0.03942	-1.00000	-1.00000	-0.01680	-1.00000	-1.00000	-0.02433	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
508	Copilot	Rosebud_Top_P	un	103128	0.05980	-1.00000	-1.00000	0.01533	-1.00000	-1.00000	0.01571	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
512	Copilot	Rosebud_Top_P	un	104712	-0.02184	-1.00000	-1.00000	-0.00259	-1.00000	-1.00000	0.00352	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
513	Copilot	Rosebud_Top_P	un	105286	-0.04000	-1.00000	-1.00000	-0.00321	-1.00000	-1.00000	-0.00024	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
532	Copilot	Rosebud_Top_P	un	107757	-0.04110	-1.00000	-1.00000	-0.03068	-1.00000	-1.00000	-0.03913	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
551	Copilot	Rosebud_Top_P	un	109387	-0.01750	-1.00000	-1.00000	-0.00476	-1.00000	-1.00000	0.00403	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
556	Copilot	Rosebud_Top_P	un	111974	-0.04348	-1.00000	-1.00000	-0.02187	-1.00000	-1.00000	-0.01759	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
569	Copilot	Rosebud_Top_P	un	114275	-0.03841	-1.00000	-1.00000	-0.00296	-1.00000	-1.00000	-0.00297	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
622	Copilot	Rosebud_Top_P	un	124589	-0.03032	-1.00000	-1.00000	-0.00389	-1.00000	-1.00000	-0.00319	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
663	Copilot	Rosebud_Top_P	un	133650	-0.03755	-1.00000	-1.00000	-0.01680	-1.00000	-1.00000	-0.03122	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
674	Copilot	Rosebud_Top_P	un	136914	-0.02813	-1.00000	-1.00000	-0.00378	-1.00000	-1.00000	-0.00375	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
689	Copilot	Rosebud_Top_P	un	142032	-0.04000	-1.00000	-1.00000	-0.03060	-1.00000	-1.00000	-0.03846	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
697	Copilot	Rosebud_Top_P	un	143727	-0.02407	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
704	Copilot	Rosebud_Top_P	un	147577	-0.03921	-1.00000	-1.00000	-0.00654	-1.00000	-1.00000	-0.00662	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
719	Copilot	Rosebud_Top_P	un	152489	-0.01273	-1.00000	-1.00000	-0.01237	-1.00000	-1.00000	-0.01237	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
729	Copilot	Rosebud_Top_P	un	154242	-0.03829	-1.00000	-1.00000	-0.00613	-1.00000	-1.00000	-0.00614	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
749	Copilot	Rosebud_Top_P	un	159847	-0.03975	-1.00000	-1.00000	-0.00319	-1.00000	-1.00000	0.01674	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
768	Copilot	Rosebud_Top_P	un	162188	-0.03704	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
774	Copilot	Rosebud_Top_P	un	165476	-0.03664	-1.00000	-1.00000	-0.03803	-1.00000	-1.00000	-0.00935	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
819	Copilot	Rosebud_Top_P	un	171240	0.10124	-1.00000	-1.00000	0.02797	-1.00000	-1.00000	0.04400	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
856	Copilot	Rosebud_Top_P	un	173781	-0.01167	-1.00000	-1.00000	-0.00476	-1.00000	-1.00000	0.00461	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
858	Copilot	Rosebud_Top_P	un	175375	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
865	Copilot	Rosebud_Top_P	un	176224	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
866	Copilot	Rosebud_Top_P	un	177024	-0.02184	-1.00000	-1.00000	-0.00259	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
868	Copilot	Rosebud_Top_P	un	178591	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
869	Copilot	Rosebud_Top_P	un	179405	0.00210	-1.00000	-1.00000	0.00033	-1.00000	-1.00000	0.00033	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
880	Copilot	Rosebud_Top_P	un	182492	-0.00250	-1.00000	-1.00000	-0.00117	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
889	Copilot	Rosebud_Top_P	un	183319	-0.02664	-1.00000	-1.00000	-0.00546	-1.00000	-1.00000	-0.00558	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
897	Copilot	Rosebud_Top_P	un	187602	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	-0.00037	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
901	Copilot	Rosebud_Top_P	un	188863	0.08287	-1.00000	-1.00000	0.02165	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
902	Copilot	Rosebud_Top_P	un	189652	-0.03704	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
922	Copilot	Rosebud_Top_P	un	194844	-0.00666	-1.00000	-1.00000	-0.00638	-1.00000	-1.00000	-0.01374	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
954	Copilot	Rosebud_Top_P	un	205235	-0.00931	-1.00000	-1.00000	-0.00156	-1.00000	-1.00000	-0.00115	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
956	Copilot	Rosebud_Top_P	un	206868	-0.01478	-1.00000	-1.00000	-0.01421	-1.00000	-1.00000	-0.01374	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
958	Copilot	Rosebud_Top_P	un	207641	-0.02407	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
959	Copilot	Rosebud_Top_P	un	208327	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
961	Copilot	Rosebud_Top_P	un	209064	-0.03852	-1.00000	-1.00000	-0.04006	-1.00000	-1.00000	-0.03540	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
1004	Copilot	Rosebud_Top_P	un	220083	0.05304	-1.00000	-1.00000	0.00446	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
1036	Copilot	Rosebud_Top_P	un	224588	0.00497	-1.00000	-1.00000	0.00132	-1.00000	-1.00000	0.01228	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
1037	Copilot	Rosebud_Top_P	un	225353	-0.03729	-1.00000	-1.00000	-0.01716	-1.00000	-1.00000	0.01000	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
1045	Copilot	Rosebud_Top_P	un	227087	-0.03841	-1.00000	-1.00000	-0.00296	-1.00000	-1.00000	0.00022	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
1063	Copilot	Rosebud_Top_P	un	229562	-0.03865	-1.00000	-1.00000	-0.04020	-1.00000	-1.00000	-0.04946	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
1066	Copilot	Rosebud_Top_P	un	232068	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
1077	Copilot	Rosebud_Top_P	un	233711	-0.02940	-1.00000	-1.00000	-0.03028	-1.00000	-1.00000	0.00028	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
1089	Copilot	Rosebud_Top_P	un	238627	-0.04000	-1.00000	-1.00000	-0.00321	-1.00000	-1.00000	-0.00024	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
1092	Copilot	Rosebud_Top_P	un	239514	-0.03495	-1.00000	-1.00000	-0.03541	-1.00000	-1.00000	-0.03156	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
1105	Copilot	Rosebud_Top_P	un	243516	-0.04025	-1.00000	-1.00000	-0.02474	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
1107	Copilot	Rosebud_Top_P	un	244295	-0.03704	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
1113	Copilot	Rosebud_Top_P	un	245159	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
1125	Copilot	Rosebud_Top_P	un	248270	-0.00621	-1.00000	-1.00000	-0.00485	-1.00000	-1.00000	-0.00352	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
1138	Copilot	Rosebud_Top_P	un	254056	-0.02782	-1.00000	-1.00000	-0.00329	-1.00000	-1.00000	-0.00319	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
1143	Copilot	Rosebud_Top_P	un	255735	-0.02844	-1.00000	-1.00000	-0.00634	-1.00000	-1.00000	-0.00503	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
1153	Copilot	Rosebud_Top_P	un	258803	0.00245	-1.00000	-1.00000	0.00042	-1.00000	-1.00000	-0.00576	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
1175	Copilot	Rosebud_Top_P	un	264188	-0.03655	-1.00000	-1.00000	-0.03542	-1.00000	-1.00000	-0.03003	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
1185	Copilot	Rosebud_Top_P	un	266485	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
