# Population Bishop	2022_Bishop_LTC1,2022_Bishop_LTC10,2022_Bishop_LTC11,2022_Bishop_LTC12,2022_Bishop_LTC13,2022_Bishop_LTC15,2022_Bishop_LTC2,2022_Bishop_LTC3,2022_Bishop_LTC4,2022_Bishop_LTC5,2022_Bishop_LTC6,2022_Bishop_LTC7,2022_Bishop_LTC8,2022_Bishop_LTC9
# Population Red_Knolls	2022_Red_Knolls_LTC1,2022_Red_Knolls_LTC10,2022_Red_Knolls_LTC12,2022_Red_Knolls_LTC15,2022_Red_Knolls_LTC2,2022_Red_Knolls_LTC3,2022_Red_Knolls_LTC4,2022_Red_Knolls_LTC5,2022_Red_Knolls_LTC6,2022_Red_Knolls_LTC7,2022_Red_Knolls_LTC8,2022_Red_Knolls_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Bishop	Red_Knolls	un	804	-0.03799	-1.00000	-1.00000	-0.03949	-1.00000	-1.00000	-0.03312	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
83	Bishop	Red_Knolls	un	16041	-0.04500	-1.00000	-1.00000	-0.01091	-1.00000	-1.00000	-0.01074	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
134	Bishop	Red_Knolls	un	26613	-0.04380	-1.00000	-1.00000	-0.04579	-1.00000	-1.00000	-0.05575	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
140	Bishop	Red_Knolls	un	28246	-0.03331	-1.00000	-1.00000	-0.00467	-1.00000	-1.00000	-0.00763	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
172	Bishop	Red_Knolls	un	32332	0.07336	-1.00000	-1.00000	0.01118	-1.00000	-1.00000	-0.00233	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
182	Bishop	Red_Knolls	un	35537	0.01043	-1.00000	-1.00000	0.01086	-1.00000	-1.00000	0.01515	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
217	Bishop	Red_Knolls	un	41944	-0.02495	-1.00000	-1.00000	-0.00352	-1.00000	-1.00000	-0.00372	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
246	Bishop	Red_Knolls	un	49248	0.01124	-1.00000	-1.00000	0.00251	-1.00000	-1.00000	-0.00091	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
265	Bishop	Red_Knolls	un	53232	0.00360	-1.00000	-1.00000	0.00356	-1.00000	-1.00000	0.00978	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
289	Bishop	Red_Knolls	un	59640	-0.03181	-1.00000	-1.00000	-0.00390	-1.00000	-1.00000	-0.00372	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
297	Bishop	Red_Knolls	un	62035	-0.04078	-1.00000	-1.00000	-0.00902	-1.00000	-1.00000	-0.00582	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
328	Bishop	Red_Knolls	un	71902	-0.04246	-1.00000	-1.00000	-0.00773	-1.00000	-1.00000	-0.01487	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
373	Bishop	Red_Knolls	un	84783	-0.00126	-1.00000	-1.00000	-0.00093	-1.00000	-1.00000	-0.00294	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
389	Bishop	Red_Knolls	un	87355	0.18262	-1.00000	-1.00000	0.05508	-1.00000	-1.00000	0.07534	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
399	Bishop	Red_Knolls	un	90723	-0.04435	-1.00000	-1.00000	-0.04568	-1.00000	-1.00000	-0.00444	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
421	Bishop	Red_Knolls	un	94733	-0.01095	-1.00000	-1.00000	-0.00867	-1.00000	-1.00000	-0.02888	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
435	Bishop	Red_Knolls	un	96364	0.03131	-1.00000	-1.00000	0.00892	-1.00000	-1.00000	0.01615	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
451	Bishop	Red_Knolls	un	99654	0.22572	-1.00000	-1.00000	0.12969	-1.00000	-1.00000	0.13495	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
472	Bishop	Red_Knolls	un	102935	-0.02813	-1.00000	-1.00000	-0.00378	-1.00000	-1.00000	0.02224	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
486	Bishop	Red_Knolls	un	106645	0.00995	-1.00000	-1.00000	0.00177	-1.00000	-1.00000	-0.00216	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
508	Bishop	Red_Knolls	un	109771	0.11635	-1.00000	-1.00000	0.01619	-1.00000	-1.00000	0.01481	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
512	Bishop	Red_Knolls	un	111355	-0.03032	-1.00000	-1.00000	-0.00389	-1.00000	-1.00000	-0.00377	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
539	Bishop	Red_Knolls	un	117668	0.05474	-1.00000	-1.00000	0.04847	-1.00000	-1.00000	0.04883	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
551	Bishop	Red_Knolls	un	118460	0.06407	-1.00000	-1.00000	0.00815	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
556	Bishop	Red_Knolls	un	119286	-0.03891	-1.00000	-1.00000	-0.00571	-1.00000	-1.00000	0.00095	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
569	Bishop	Red_Knolls	un	121587	-0.01693	-1.00000	-1.00000	-0.01192	-1.00000	-1.00000	-0.01315	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
578	Bishop	Red_Knolls	un	124600	0.38447	-1.00000	-1.00000	0.22716	-1.00000	-1.00000	0.28852	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
586	Bishop	Red_Knolls	un	125414	0.12239	-1.00000	-1.00000	0.01953	-1.00000	-1.00000	0.00746	-1.00000	-1.00000	0.00045	-1.00000	-1.00000
597	Bishop	Red_Knolls	un	127005	-0.01144	-1.00000	-1.00000	-0.00673	-1.00000	-1.00000	0.03136	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
603	Bishop	Red_Knolls	un	128654	0.04314	-1.00000	-1.00000	0.01299	-1.00000	-1.00000	-0.00019	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
620	Bishop	Red_Knolls	un	131901	-0.03862	-1.00000	-1.00000	-0.01003	-1.00000	-1.00000	-0.01014	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
649	Bishop	Red_Knolls	un	135224	-0.00299	-1.00000	-1.00000	-0.00128	-1.00000	-1.00000	-0.00095	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
675	Bishop	Red_Knolls	un	143215	0.17523	-1.00000	-1.00000	0.06221	-1.00000	-1.00000	0.08285	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
681	Bishop	Red_Knolls	un	144953	0.14504	-1.00000	-1.00000	0.02643	-1.00000	-1.00000	0.02542	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
689	Bishop	Red_Knolls	un	147532	-0.02367	-1.00000	-1.00000	-0.01786	-1.00000	-1.00000	-0.02831	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
697	Bishop	Red_Knolls	un	149227	0.19214	-1.00000	-1.00000	0.07515	-1.00000	-1.00000	0.07380	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
711	Bishop	Red_Knolls	un	153144	0.06203	-1.00000	-1.00000	0.00894	-1.00000	-1.00000	-0.00203	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
714	Bishop	Red_Knolls	un	153869	0.02555	-1.00000	-1.00000	0.02153	-1.00000	-1.00000	0.02187	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
717	Bishop	Red_Knolls	un	156364	-0.03501	-1.00000	-1.00000	-0.00468	-1.00000	-1.00000	0.00102	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
729	Bishop	Red_Knolls	un	160569	-0.02486	-1.00000	-1.00000	-0.01404	-1.00000	-1.00000	-0.01457	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
774	Bishop	Red_Knolls	un	172529	-0.04280	-1.00000	-1.00000	-0.04471	-1.00000	-1.00000	-0.06333	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
778	Bishop	Red_Knolls	un	174167	0.06407	-1.00000	-1.00000	0.00815	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
813	Bishop	Red_Knolls	un	178262	-0.03891	-1.00000	-1.00000	-0.00571	-1.00000	-1.00000	-0.00999	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
865	Bishop	Red_Knolls	un	183194	-0.04608	-1.00000	-1.00000	-0.02163	-1.00000	-1.00000	-0.01921	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
869	Bishop	Red_Knolls	un	186375	-0.03921	-1.00000	-1.00000	-0.00654	-1.00000	-1.00000	-0.00662	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
889	Bishop	Red_Knolls	un	190259	0.04020	-1.00000	-1.00000	0.01282	-1.00000	-1.00000	0.01201	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
895	Bishop	Red_Knolls	un	192840	-0.04078	-1.00000	-1.00000	-0.00902	-1.00000	-1.00000	-0.00582	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
902	Bishop	Red_Knolls	un	196592	0.23578	-1.00000	-1.00000	0.06894	-1.00000	-1.00000	0.06757	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
904	Bishop	Red_Knolls	un	197509	0.06407	-1.00000	-1.00000	0.00815	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
922	Bishop	Red_Knolls	un	200760	-0.04627	-1.00000	-1.00000	-0.00927	-1.00000	-1.00000	-0.02378	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
958	Bishop	Red_Knolls	un	212099	0.01075	-1.00000	-1.00000	0.00699	-1.00000	-1.00000	0.00164	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
964	Bishop	Red_Knolls	un	214325	0.04616	-1.00000	-1.00000	0.02363	-1.00000	-1.00000	0.08000	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
981	Bishop	Red_Knolls	un	218790	0.03783	-1.00000	-1.00000	0.03046	-1.00000	-1.00000	0.02488	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
996	Bishop	Red_Knolls	un	222867	0.19057	-1.00000	-1.00000	0.04497	-1.00000	-1.00000	0.04376	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
1001	Bishop	Red_Knolls	un	224498	0.02452	-1.00000	-1.00000	0.01177	-1.00000	-1.00000	-0.00491	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
1007	Bishop	Red_Knolls	un	226744	-0.04078	-1.00000	-1.00000	-0.00902	-1.00000	-1.00000	-0.00886	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
1068	Bishop	Red_Knolls	un	236385	0.03947	-1.00000	-1.00000	0.02219	-1.00000	-1.00000	0.01286	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
1084	Bishop	Red_Knolls	un	241215	-0.04348	-1.00000	-1.00000	-0.01232	-1.00000	-1.00000	0.00875	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
1085	Bishop	Red_Knolls	un	242084	-0.00869	-1.00000	-1.00000	-0.00629	-1.00000	-1.00000	-0.01583	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
1089	Bishop	Red_Knolls	un	243718	0.02439	-1.00000	-1.00000	0.01786	-1.00000	-1.00000	0.05987	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
1101	Bishop	Red_Knolls	un	247741	0.16794	-1.00000	-1.00000	0.03255	-1.00000	-1.00000	0.05046	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
1104	Bishop	Red_Knolls	un	248621	0.05277	-1.00000	-1.00000	0.00721	-1.00000	-1.00000	0.00310	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
1130	Bishop	Red_Knolls	un	256730	0.06118	-1.00000	-1.00000	0.03012	-1.00000	-1.00000	0.04603	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
1133	Bishop	Red_Knolls	un	257474	-0.04277	-1.00000	-1.00000	-0.00817	-1.00000	-1.00000	-0.00847	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
1134	Bishop	Red_Knolls	un	258255	-0.04078	-1.00000	-1.00000	-0.00902	-1.00000	-1.00000	-0.00582	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
1135	Bishop	Red_Knolls	un	259112	0.03084	-1.00000	-1.00000	0.00766	-1.00000	-1.00000	0.02160	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
1143	Bishop	Red_Knolls	un	261626	-0.03363	-1.00000	-1.00000	-0.02376	-1.00000	-1.00000	-0.03468	-1.00000	-1.00000	0.00088	-1.00000	-1.00000
1148	Bishop	Red_Knolls	un	263021	-0.04479	-1.00000	-1.00000	-0.01142	-1.00000	-1.00000	-0.01473	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
