# Population Bishop	2022_Bishop_LTC1,2022_Bishop_LTC10,2022_Bishop_LTC11,2022_Bishop_LTC12,2022_Bishop_LTC13,2022_Bishop_LTC15,2022_Bishop_LTC2,2022_Bishop_LTC3,2022_Bishop_LTC4,2022_Bishop_LTC5,2022_Bishop_LTC6,2022_Bishop_LTC7,2022_Bishop_LTC8,2022_Bishop_LTC9
# Population Red_Knolls	2022_Red_Knolls_LTC1,2022_Red_Knolls_LTC10,2022_Red_Knolls_LTC12,2022_Red_Knolls_LTC15,2022_Red_Knolls_LTC2,2022_Red_Knolls_LTC3,2022_Red_Knolls_LTC4,2022_Red_Knolls_LTC5,2022_Red_Knolls_LTC6,2022_Red_Knolls_LTC7,2022_Red_Knolls_LTC8,2022_Red_Knolls_LTC9
# Group defaultgrp	Bishop,Red_Knolls
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
5	un	804	-0.03799	-1.00000	-0.03949	-1.00000	-0.03312	-1.00000
83	un	16041	-0.04500	-1.00000	-0.01091	-1.00000	-0.01074	-1.00000
134	un	26613	-0.04380	-1.00000	-0.04579	-1.00000	-0.05575	-1.00000
140	un	28246	-0.03331	-1.00000	-0.00467	-1.00000	-0.00763	-1.00000
172	un	32332	0.07336	-1.00000	0.01118	-1.00000	-0.00233	-1.00000
182	un	35537	0.01043	-1.00000	0.01086	-1.00000	0.01515	-1.00000
217	un	41944	-0.02495	-1.00000	-0.00352	-1.00000	-0.00372	-1.00000
246	un	49248	0.01124	-1.00000	0.00251	-1.00000	-0.00091	-1.00000
265	un	53232	0.00360	-1.00000	0.00356	-1.00000	0.00978	-1.00000
289	un	59640	-0.03181	-1.00000	-0.00390	-1.00000	-0.00372	-1.00000
297	un	62035	-0.04078	-1.00000	-0.00902	-1.00000	-0.00582	-1.00000
328	un	71902	-0.04246	-1.00000	-0.00773	-1.00000	-0.01487	-1.00000
373	un	84783	-0.00126	-1.00000	-0.00093	-1.00000	-0.00294	-1.00000
389	un	87355	0.18262	-1.00000	0.05508	-1.00000	0.07534	-1.00000
399	un	90723	-0.04435	-1.00000	-0.04568	-1.00000	-0.00444	-1.00000
421	un	94733	-0.01095	-1.00000	-0.00867	-1.00000	-0.02888	-1.00000
435	un	96364	0.03131	-1.00000	0.00892	-1.00000	0.01615	-1.00000
451	un	99654	0.22572	-1.00000	0.12969	-1.00000	0.13495	-1.00000
472	un	102935	-0.02813	-1.00000	-0.00378	-1.00000	0.02224	-1.00000
486	un	106645	0.00995	-1.00000	0.00177	-1.00000	-0.00216	-1.00000
508	un	109771	0.11635	-1.00000	0.01619	-1.00000	0.01481	-1.00000
512	un	111355	-0.03032	-1.00000	-0.00389	-1.00000	-0.00377	-1.00000
539	un	117668	0.05474	-1.00000	0.04847	-1.00000	0.04883	-1.00000
551	un	118460	0.06407	-1.00000	0.00815	-1.00000	0.00881	-1.00000
556	un	119286	-0.03891	-1.00000	-0.00571	-1.00000	0.00095	-1.00000
569	un	121587	-0.01693	-1.00000	-0.01192	-1.00000	-0.01315	-1.00000
578	un	124600	0.38447	-1.00000	0.22716	-1.00000	0.28852	-1.00000
586	un	125414	0.12239	-1.00000	0.01953	-1.00000	0.00746	-1.00000
597	un	127005	-0.01144	-1.00000	-0.00673	-1.00000	0.03136	-1.00000
603	un	128654	0.04314	-1.00000	0.01299	-1.00000	-0.00019	-1.00000
620	un	131901	-0.03862	-1.00000	-0.01003	-1.00000	-0.01014	-1.00000
649	un	135224	-0.00299	-1.00000	-0.00128	-1.00000	-0.00095	-1.00000
675	un	143215	0.17523	-1.00000	0.06221	-1.00000	0.08285	-1.00000
681	un	144953	0.14504	-1.00000	0.02643	-1.00000	0.02542	-1.00000
689	un	147532	-0.02367	-1.00000	-0.01786	-1.00000	-0.02831	-1.00000
697	un	149227	0.19214	-1.00000	0.07515	-1.00000	0.07380	-1.00000
711	un	153144	0.06203	-1.00000	0.00894	-1.00000	-0.00203	-1.00000
714	un	153869	0.02555	-1.00000	0.02153	-1.00000	0.02187	-1.00000
717	un	156364	-0.03501	-1.00000	-0.00468	-1.00000	0.00102	-1.00000
729	un	160569	-0.02486	-1.00000	-0.01404	-1.00000	-0.01457	-1.00000
774	un	172529	-0.04280	-1.00000	-0.04471	-1.00000	-0.06333	-1.00000
778	un	174167	0.06407	-1.00000	0.00815	-1.00000	0.00881	-1.00000
813	un	178262	-0.03891	-1.00000	-0.00571	-1.00000	-0.00999	-1.00000
865	un	183194	-0.04608	-1.00000	-0.02163	-1.00000	-0.01921	-1.00000
869	un	186375	-0.03921	-1.00000	-0.00654	-1.00000	-0.00662	-1.00000
889	un	190259	0.04020	-1.00000	0.01282	-1.00000	0.01201	-1.00000
895	un	192840	-0.04078	-1.00000	-0.00902	-1.00000	-0.00582	-1.00000
902	un	196592	0.23578	-1.00000	0.06894	-1.00000	0.06757	-1.00000
904	un	197509	0.06407	-1.00000	0.00815	-1.00000	0.00881	-1.00000
922	un	200760	-0.04627	-1.00000	-0.00927	-1.00000	-0.02378	-1.00000
958	un	212099	0.01075	-1.00000	0.00699	-1.00000	0.00164	-1.00000
964	un	214325	0.04616	-1.00000	0.02363	-1.00000	0.08000	-1.00000
981	un	218790	0.03783	-1.00000	0.03046	-1.00000	0.02488	-1.00000
996	un	222867	0.19057	-1.00000	0.04497	-1.00000	0.04376	-1.00000
1001	un	224498	0.02452	-1.00000	0.01177	-1.00000	-0.00491	-1.00000
1007	un	226744	-0.04078	-1.00000	-0.00902	-1.00000	-0.00886	-1.00000
1068	un	236385	0.03947	-1.00000	0.02219	-1.00000	0.01286	-1.00000
1084	un	241215	-0.04348	-1.00000	-0.01232	-1.00000	0.00875	-1.00000
1085	un	242084	-0.00869	-1.00000	-0.00629	-1.00000	-0.01583	-1.00000
1089	un	243718	0.02439	-1.00000	0.01786	-1.00000	0.05987	-1.00000
1101	un	247741	0.16794	-1.00000	0.03255	-1.00000	0.05046	-1.00000
1104	un	248621	0.05277	-1.00000	0.00721	-1.00000	0.00310	-1.00000
1130	un	256730	0.06118	-1.00000	0.03012	-1.00000	0.04603	-1.00000
1133	un	257474	-0.04277	-1.00000	-0.00817	-1.00000	-0.00847	-1.00000
1134	un	258255	-0.04078	-1.00000	-0.00902	-1.00000	-0.00582	-1.00000
1135	un	259112	0.03084	-1.00000	0.00766	-1.00000	0.02160	-1.00000
1143	un	261626	-0.03363	-1.00000	-0.02376	-1.00000	-0.03468	-1.00000
1148	un	263021	-0.04479	-1.00000	-0.01142	-1.00000	-0.01473	-1.00000
1175	un	270886	-0.04551	-1.00000	-0.04693	-1.00000	-0.05424	-1.00000
1186	un	273247	0.24153	-1.00000	0.09248	-1.00000	0.09396	-1.00000
1202	un	277209	-0.03948	-1.00000	-0.04111	-1.00000	-0.05109	-1.00000
1260	un	287799	-0.04462	-1.00000	-0.03139	-1.00000	-0.03719	-1.00000
1273	un	293552	0.10962	-1.00000	0.01580	-1.00000	0.00729	-1.00000
1327	un	307814	-0.04803	-1.00000	-0.05044	-1.00000	-0.06873	-1.00000
1329	un	309373	-0.02321	-1.00000	-0.00498	-1.00000	-0.00531	-1.00000
1348	un	313464	-0.03499	-1.00000	-0.02961	-1.00000	-0.04863	-1.00000
1355	un	315939	-0.01426	-1.00000	-0.00203	-1.00000	-0.00901	-1.00000
1375	un	320712	-0.01154	-1.00000	-0.00616	-1.00000	-0.01499	-1.00000
1385	un	323192	0.01656	-1.00000	0.00284	-1.00000	0.00228	-1.00000
1409	un	325177	-0.00399	-1.00000	-0.00322	-1.00000	-0.01405	-1.00000
1419	un	325987	-0.04145	-1.00000	-0.02826	-1.00000	-0.04462	-1.00000
1420	un	326865	-0.03623	-1.00000	-0.01222	-1.00000	-0.01170	-1.00000
1437	un	332619	0.14504	-1.00000	0.02643	-1.00000	0.02542	-1.00000
1466	un	340185	-0.04321	-1.00000	-0.02026	-1.00000	-0.02492	-1.00000
1481	un	345139	-0.00931	-1.00000	-0.00156	-1.00000	-0.00115	-1.00000
1491	un	347558	-0.04252	-1.00000	-0.01430	-1.00000	-0.01094	-1.00000
1506	un	350068	-0.01091	-1.00000	-0.00200	-1.00000	-0.00966	-1.00000
1519	un	353522	0.06840	-1.00000	0.00949	-1.00000	0.00172	-1.00000
1532	un	356645	-0.04478	-1.00000	-0.04681	-1.00000	-0.00485	-1.00000
1540	un	358544	-0.04212	-1.00000	-0.01352	-1.00000	-0.00925	-1.00000
1558	un	362588	-0.03501	-1.00000	-0.00468	-1.00000	-0.01194	-1.00000
1562	un	364921	0.24553	-1.00000	0.24812	-1.00000	0.22122	-1.00000
1605	un	373720	-0.01091	-1.00000	-0.00200	-1.00000	0.00696	-1.00000
1608	un	374529	-0.01918	-1.00000	-0.00643	-1.00000	-0.00721	-1.00000
